link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability,status
https://nhadat.cafeland.vn/biet-phu-mat-tien-xac-dinh-ban-dat-650m2-3-tang-hoang-quoc-viet-quan-7-2270247.html,"Biệt phủ mặt tiền , xác định bán đất 650m2, 3 tầng, Hoàng Quốc Việt , Quận 7.","Hoàng Quốc Việt, Phú Thuận, Quận 7, TP. Hồ Chí Minh Lưu tin",~133 triệu/m2,650m2,Bán biệt thự,,3 tầng,6.0,20m - 30m,1.0,4 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/ban-dat-view-dep-ho-cai-bang-bao-lam-gia-sieu-tot-dt-10279m2-200m2-tho-cu-2270495.html,"Bán đất view đẹp hồ Cái Bảng, Bảo Lâm giá siêu tốt, DT 10279m2 (200m2 thổ cư)","TT. Lộc Thắng, Bảo Lâm, Lâm Đồng Lưu tin",~729 triệu/m2,10.279m2,Bán đất thổ cư,,,,,,,,processed
https://nhadat.cafeland.vn/chung-cu-cao-cap-masteri-trinity-square-2270540.html,chung cư cao cấp masteri trinity square,"Nghĩa Trụ, Văn Giang, Hưng Yên Lưu tin",,58.8m2,Bán căn hộ chung cư,,,,,,,,processed
https://nhadat.cafeland.vn/ban-can-lien-ke-palmy-biztown-80m2-gia-chi-151-trieum2-2270330.html,Bán căn liền kề Palmy Biztown – 80m² – Giá chỉ 151 triệu/m²,"Đường Phan Trọng Tuệ, Thanh Liệt, Thanh Trì, Hà Nội Lưu tin","~1,8 triệu /m2",80m2,Bán biệt thự,,,,,,,,processed
https://nhadat.cafeland.vn/sang-ten-can-goc-palmy-biztown-gan-ga-ngoc-hoi-80m2-gia-chi-146trm2-2270329.html,Sang tên căn góc Palmy Biztown – Gần ga Ngọc Hồi – 80m² – Giá chỉ 146tr/m2,"Đường Phan Trọng Tuệ, Thanh Liệt, Thanh Trì, Hà Nội Lưu tin","~1,8 triệu /m2",80m2,Bán biệt thự,,,,,,,,processed
https://nhadat.cafeland.vn/21x48-duong-o-to-chi-390tr-so-san-2256168.html,"21x48, đường ô tô chỉ 390tr sổ sẵn","ĐT 839, Mỹ Thạnh Đông, Đức Huệ, Long An Lưu tin",~390 nghìn/m2,1000m2,"Bán đất nông, lâm nghiệp",,,,,,,,processed
https://nhadat.cafeland.vn/ban-chdv-ngang-9m-duong-pham-van-dong-qgo-vap-hd-thue-89-trgia-259-ty-2270281.html,"Bán CHDV ngang 9m, Đường Phạm Văn Đồng - Q.Gò Vấp ,HD thuê 121 tr,giá 25.9 tỷ","Phạm Văn Đồng, Phường 1, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",~287 triệu/m2,90m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/ban-nha-mat-tien-duong-so-1-cityland-center-hill-dt-5x18m-4pn-183-ty-2270213.html,"BÁN NHÀ MẶT TIỀN ĐƯỜNG SỐ 1 - CITYLAND CENTER HILL,– DT: 5x18m – 4PN – 18.3 TỶ","Đường số 1, Phường 7, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",~203 triệu/m2,90m2,Bán biệt thự,,,,,,,,processed
https://nhadat.cafeland.vn/ban-dat-mat-tien-duong-nhua-dien-tich-khung-1-to-ky-xa-tan-xuan-hoc-mon-2234106.html,"BÁN ĐẤT MẶT TIỀN ĐƯỜNG NHỰA DIỆN TÍCH KHỦNG 1/ TÔ KÝ , XÃ TÂN XUÂN , HÓC MÔN","Tô Ký, Tân Xuân, Huyện Hóc Môn , TP. Hồ Chí Minh Lưu tin","~14,1 triệu /m2",1270.3m2,Bán đất thổ cư,,,,10m - 15m,,,Sổ hồng,processed
https://nhadat.cafeland.vn/ban-nha-ngay-vong-xoay-an-lac-dt-8-x23m-vuong-a4-xe-cintainer-do-cua-gia-132-ty-2257255.html,BÁN NHÀ NGAY VÒNG XOAY AN LẠC DT 8 X23M VUÔNG A4 XE CINTAINER ĐỔ CỬA GIÁ 13.2 Ty,"Kinh Dương Vương, An Lạc, Quận Bình Tân, TP. Hồ Chí Minh Lưu tin","~70,9 triệu /m2",186m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/nha-ngang-hon-5m-80m2-8pn6wc-hem-thang-xe-hoi-vao-nha-ket-cau-con-moi-dep-2270069.html,"Nhà ngang hơn 5m, 80m2, 8pn6wc, hẻm thẳng xe hơi vào nhà, kết cấu còn mới, đẹp","Lê Văn Sỹ, Phường 13, Quận 3, TP. Hồ Chí Minh Lưu tin",~250 triệu/m2,80m2,Bán nhà riêng,,,6.0,6m,,8 phòng,Giấy tờ hợp lệ,processed
